   Operation      Sample         Ops
syst-1   0            1        0.09
syst-1   0            2        0.09
syst-1   0            3        0.07
syst-1   0            4        0.10
syst-1   0            5        0.09
syst-1   0            6        0.09
syst-1   0            7        0.08
elsp-1   0            1        0.36
elsp-1   0            2        0.36
elsp-1   0            3        0.36
elsp-1   0            4        0.36
elsp-1   0            5        0.36
elsp-1   0            6        0.36
elsp-1   0            7        0.36
syst-3   0            1        0.10
syst-3   0            2        0.11
syst-3   0            3        0.12
syst-3   0            4        0.10
syst-3   0            5        0.11
syst-3   0            6        0.10
syst-3   0            7        0.11
elsp-3   0            1        0.31
elsp-3   0            2        0.31
elsp-3   0            3        0.31
elsp-3   0            4        0.31
elsp-3   0            5        0.31
elsp-3   0            6        0.31
elsp-3   0            7        0.31
syst-4   0            1        0.16
syst-4   0            2        0.13
syst-4   0            3        0.14
syst-4   0            4        0.15
syst-4   0            5        0.17
syst-4   0            6        0.14
syst-4   0            7        0.16
elsp-4   0            1        0.32
elsp-4   0            2        0.31
elsp-4   0            3        0.30
elsp-4   0            4        0.32
elsp-4   0            5        0.32
elsp-4   0            6        0.31
elsp-4   0            7        0.32
